docId,id
doc_0,1364506249291784198
doc_1,1364506237451313155
doc_2,1364506167226032128
doc_3,1364505991887347714
doc_4,1364505813834989568
doc_5,1364505749359976448
doc_6,1364505676375076867
doc_7,1364505511073300481
doc_8,1364505452134817795
doc_9,1364505443997937669
doc_10,1364505314586951680
doc_11,1364505255946379268
doc_12,1364505170743238659
doc_13,1364505014530531330
doc_14,1364504850524995587
doc_15,1364504705460658179
doc_16,1364504358277308416
doc_17,1364504281618001921
doc_18,1364504256934408193
doc_19,1364503870651555840
doc_20,1364503539322671108
doc_21,1364503376885473282
doc_22,1364503314407124992
doc_23,1364503215232798721
doc_24,1364502921858211840
doc_25,1364502574280409091
doc_26,1364502520412930049
doc_27,1364502280167325699
doc_28,1364502000809824261
doc_29,1364501857788289027
doc_30,1364501716960354306
doc_31,1364500816418250752
doc_32,1364500655730274307
doc_33,1364500318420160513
doc_34,1364500256851951619
doc_35,1364500069945384961
doc_36,1364499897404190721
doc_37,1364499704147374082
doc_38,1364499669271855104
doc_39,1364499530515963905
doc_40,1364499513520525312
doc_41,1364499441927954434
doc_42,1364499308414967808
doc_43,1364498983813599235
doc_44,1364498954092642305
doc_45,1364498807157792770
doc_46,1364498674223513602
doc_47,1364498641935863812
doc_48,1364498444702859265
doc_49,1364498268130959366
doc_50,1364497976840712197
doc_51,1364497910679789571
doc_52,1364497821953495052
doc_53,1364497795508367364
doc_54,1364497751363387397
doc_55,1364497480994361344
doc_56,1364497465957883905
doc_57,1364496544997679106
doc_58,1364496305465167877
doc_59,1364495861766443015
doc_60,1364495781399461888
doc_61,1364495768548040704
doc_62,1364495547290112003
doc_63,1364495529783230466
doc_64,1364495513165254656
doc_65,1364495499747749889
doc_66,1364495398006517763
doc_67,1364495154921545729
doc_68,1364494716599816197
doc_69,1364494713546366980
doc_70,1364494470054436875
doc_71,1364494437771051009
doc_72,1364494312021532677
doc_73,1364494180400070660
doc_74,1364494169192865792
doc_75,1364494087810736129
doc_76,1364494079489413120
doc_77,1364493905400528898
doc_78,1364493598952026112
doc_79,1364493231354880003
doc_80,1364493183409790978
doc_81,1364492608978976771
doc_82,1364492461586800646
doc_83,1364492385137295364
doc_84,1364492327952220160
doc_85,1364492327717199876
doc_86,1364492295626752000
doc_87,1364492237749374983
doc_88,1364491679680651265
doc_89,1364491595404378112
doc_90,1364491549367746562
doc_91,1364491520779292675
doc_92,1364490890052395010
doc_93,1364490556139655169
doc_94,1364490221585391617
doc_95,1364490096687341569
doc_96,1364489685129641984
doc_97,1364489612748611585
doc_98,1364489495110766594
doc_99,1364489452794511361
doc_100,1364488773061476353
doc_101,1364488696175554568
doc_102,1364488643503480833
doc_103,1364487991834468369
doc_104,1364487973044064256
doc_105,1364487963149627392
doc_106,1364487775270141954
doc_107,1364487683783811075
doc_108,1364487448898785280
doc_109,1364487045108801537
doc_110,1364486747753754624
doc_111,1364486575757791234
doc_112,1364486543553884162
doc_113,1364486096285954052
doc_114,1364485906795749385
doc_115,1364485852081119233
doc_116,1364485778487865344
doc_117,1364485718559629316
doc_118,1364485564901314561
doc_119,1364485521993437184
doc_120,1364485320608272387
doc_121,1364485235447103488
doc_122,1364485153410732032
doc_123,1364484888041123840
doc_124,1364484832995254275
doc_125,1364484492568657921
doc_126,1364484175747710976
doc_127,1364483987234725895
